Id,Category
0001,6
0002,5
0003,2
0004,1
0005,3
0006,0
0007,8
0008,8
0009,5
0010,2
0011,6
0012,0
0013,0
0014,2
0015,6
0016,4
0017,1
0018,0
0019,1
0020,4
0021,2
0022,7
0023,6
0024,6
0025,8
0026,3
0027,1
0028,3
0029,0
0030,1
0031,10
0032,2
0033,2
0034,6
0035,10
0036,8
0037,5
0038,9
0039,8
0040,7
0041,1
0042,0
0043,7
0044,0
0045,8
0046,1
0047,8
0048,8
0049,2
0050,8
0051,10
0052,10
0053,1
0054,1
0055,10
0056,10
0057,6
0058,3
0059,8
0060,7
0061,8
0062,8
0063,8
0064,8
0065,9
0066,1
0067,0
0068,8
0069,8
0070,6
0071,7
0072,2
0073,6
0074,3
0075,8
0076,10
0077,10
0078,6
0079,3
0080,4
0081,10
0082,10
0083,3
0084,5
0085,5
0086,0
0087,8
0088,1
0089,2
0090,3
0091,5
0092,3
0093,2
0094,8
0095,10
0096,10
0097,8
0098,10
0099,0
0100,3
0101,10
0102,10
0103,2
0104,9
0105,0
0106,4
0107,10
0108,8
0109,10
0110,7
0111,10
0112,0
0113,2
0114,6
0115,9
0116,7
0117,9
0118,10
0119,6
0120,10
0121,8
0122,9
0123,8
0124,10
0125,5
0126,8
0127,8
0128,8
0129,10
0130,6
0131,2
0132,1
0133,5
0134,3
0135,6
0136,6
0137,8
0138,6
0139,8
0140,1
0141,7
0142,2
0143,7
0144,10
0145,2
0146,8
0147,10
0148,10
0149,6
0150,0
0151,8
0152,10
0153,10
0154,9
0155,8
0156,8
0157,8
0158,1
0159,5
0160,8
0161,6
0162,2
0163,5
0164,4
0165,8
0166,10
0167,6
0168,6
0169,10
0170,8
0171,4
0172,9
0173,6
0174,1
0175,10
0176,0
0177,6
0178,4
0179,6
0180,7
0181,1
0182,8
0183,8
0184,4
0185,10
0186,7
0187,8
0188,3
0189,3
0190,2
0191,5
0192,10
0193,1
0194,7
0195,0
0196,9
0197,5
0198,8
0199,0
0200,6
0201,10
0202,10
0203,6
0204,6
0205,6
0206,1
0207,2
0208,6
0209,8
0210,9
0211,0
0212,2
0213,5
0214,10
0215,10
0216,9
0217,10
0218,10
0219,1
0220,0
0221,10
0222,5
0223,3
0224,3
0225,8
0226,10
0227,2
0228,4
0229,9
0230,10
0231,1
0232,4
0233,6
0234,2
0235,10
0236,0
0237,8
0238,2
0239,1
0240,0
0241,2
0242,1
0243,8
0244,9
0245,6
0246,6
0247,8
0248,2
0249,7
0250,3
0251,10
0252,6
0253,9
0254,3
0255,0
0256,7
0257,2
0258,3
0259,6
0260,8
0261,2
0262,0
0263,10
0264,10
0265,3
0266,2
0267,4
0268,1
0269,10
0270,7
0271,8
0272,1
0273,10
0274,8
0275,10
0276,4
0277,10
0278,3
0279,6
0280,0
0281,7
0282,10
0283,8
0284,8
0285,10
0286,8
0287,3
0288,1
0289,10
0290,8
0291,5
0292,6
0293,10
0294,10
0295,6
0296,0
0297,0
0298,0
0299,7
0300,10
0301,8
0302,10
0303,3
0304,8
0305,2
0306,1
0307,1
0308,8
0309,10
0310,2
0311,6
0312,5
